day	sum	infected	cured	deceased
0	4	4	0	0
1	4	4	0	0
2	4	4	0	0
3	7	7	0	0
4	7	7	0	0
5	8	8	0	0
6	10	10	0	0
7	12	12	0	0
8	12	12	0	0
9	12	12	0	0
10	13	13	0	0
11	13	13	0	0
12	13	13	0	0
13	14	14	0	0
14	14	14	0	0
15	16	16	0	0
16	16	16	0	0
17	16	15	1	0
18	16	15	1	0
19	16	15	1	0
20	16	15	1	0
21	16	7	9	0
22	16	7	9	0
23	16	7	9	0
24	16	7	9	0
25	16	7	9	0
26	16	7	9	0
27	16	2	14	0
28	16	2	14	0
29	19	5	14	0
30	27	13	14	0
31	48	34	14	0
32	72	56	16	0
33	117	101	16	0
34	130	114	16	0
35	188	172	16	0
36	240	224	16	0
37	351	334	17	0
38	565	548	17	0
39	670	653	17	0
40	939	921	18	0
41	1151	1133	18	0
42	1224	1204	18	2
43	1565	1545	18	2
44	2078	2050	25	3
45	2754	2721	27	6
46	3718	3664	46	8
47	4585	4530	46	9
48	5917	5855	49	13
49	7272	7210	49	13
50	10082	9983	73	26
51	13979	13832	105	42
52	17653	17426	180	47
