day	sum	infected	cured	deceased
0	0.000000	0.000000	0.000000	0.000000
1	0.003132	0.003130	0.000000	0.000001
2	0.007266	0.007261	0.000000	0.000005
3	0.012746	0.012734	0.000000	0.000012
4	0.019984	0.019961	0.000000	0.000023
5	0.029470	0.029429	0.000000	0.000041
6	0.041966	0.041900	0.000000	0.000066
7	0.058515	0.058414	0.000000	0.000101
8	0.080438	0.080288	0.000000	0.000150
9	0.109376	0.109160	0.000000	0.000217
10	0.147614	0.147306	0.000000	0.000307
11	0.197902	0.197473	0.000000	0.000429
12	0.264233	0.263642	0.000000	0.000591
13	0.351989	0.351182	0.000000	0.000807
14	0.467949	0.466853	0.000000	0.001096
15	0.621331	0.619851	0.000000	0.001480
16	0.823218	0.821230	0.000000	0.001988
17	1.089153	1.086494	0.000001	0.002659
18	1.440778	1.437229	0.000001	0.003548
19	1.905832	1.901104	0.000002	0.004726
20	2.520334	2.514045	0.000003	0.006285
21	3.330755	3.322404	0.000006	0.008345
22	4.397586	4.386519	0.000010	0.011057
23	5.807033	5.792375	0.000016	0.014641
24	7.671406	7.651994	0.000029	0.019384
25	10.134610	10.108903	0.000051	0.025655
26	13.386289	13.352258	0.000091	0.033940
27	17.665097	17.620103	0.000154	0.044840
28	23.314753	23.255261	0.000265	0.059227
29	30.788615	30.709889	0.000465	0.078260
30	40.661271	40.557034	0.000823	0.103414
31	53.704664	53.566531	0.001463	0.136670
32	70.865913	70.683009	0.002491	0.180413
33	93.510801	93.268419	0.004273	0.238109
34	123.463196	123.141304	0.007476	0.314416
35	163.021477	162.593119	0.013131	0.415227
36	215.267287	214.695598	0.023242	0.548447
37	284.060859	283.297124	0.039893	0.723842
38	374.835137	373.811053	0.068849	0.955235
39	494.804507	493.422974	0.120457	1.261077
40	653.192249	651.314511	0.212661	1.665077
41	862.109636	859.538481	0.372870	2.198284
42	1137.052216	1133.514136	0.638075	2.900006
43	1499.744245	1494.813543	1.104831	3.825871
44	1978.402884	1971.420638	1.933667	5.048579
45	2609.205221	2599.119051	3.424068	6.662102
46	3438.849542	3424.115576	5.947220	8.786746
47	4528.360056	4506.610257	10.170297	11.579502
48	5960.511428	5927.618776	17.635569	15.257084
49	7840.061302	7789.187688	30.776976	20.096638
50	10298.579344	10217.718712	54.406769	26.453863
51	13505.280511	13376.923506	93.578982	34.778023
52	17673.434576	17468.411321	159.370791	45.652464
53	23066.021420	22731.500116	274.687002	59.834302
54	29995.754570	29443.223237	474.276776	78.254557
55	38790.182836	37865.895140	822.345197	101.942500
56	49906.883140	48381.899817	1392.607629	132.375694
57	63770.888964	61272.202504	2327.451933	171.234527
58	80629.573611	76521.053241	3888.432446	220.087925
59	100552.585020	93815.897705	6456.294108	280.393208
60	123428.253107	112543.035257	10531.726210	353.491640
61	148644.789202	131388.224373	16816.455658	440.109170
62	174908.342313	148156.077794	26212.772651	539.491869
63	200392.451931	160082.073652	39661.172565	649.205713
64	222959.044411	164235.681832	57958.569734	764.792845
65	240744.762951	158533.507326	81331.335710	879.919915
66	253129.988941	143027.686902	109114.900599	987.401439
67	260289.692661	119562.406281	139646.258660	1081.027720
68	263481.036466	92114.828335	170209.994528	1156.213603
69	264653.385981	65358.210605	198083.246074	1211.929302
70	264979.004915	42600.832988	221128.242192	1249.929735
71	265045.310327	25442.174473	238329.410742	1273.725112
72	265054.940015	13890.480045	249877.088723	1287.371248
73	265055.925564	6928.047115	256833.351903	1294.526546
74	265055.996268	3162.978304	260595.059526	1297.958438
75	265055.999864	1328.311334	262428.219602	1299.468928
76	265055.999994	516.890659	263239.026733	1300.082602
77	265056.000000	188.010386	263567.675024	1300.314590
78	265056.000000	64.585343	263691.017776	1300.396881
79	265056.000000	21.135410	263734.440015	1300.424575
80	265056.000000	6.646319	263748.920195	1300.433487
81	265056.000000	2.025463	263753.538287	1300.436251
82	265056.000000	0.601278	263754.961638	1300.437084
83	265056.000000	0.175066	263755.387604	1300.437330
84	265056.000000	0.050166	263755.512434	1300.437401
85	265056.000000	0.014200	263755.548379	1300.437421
86	265056.000000	0.003985	263755.558588	1300.437427
87	265056.000000	0.001109	263755.561462	1300.437428
88	265056.000000	0.000307	263755.562264	1300.437429
89	265056.000000	0.000085	263755.562486	1300.437429
90	265056.000000	0.000024	263755.562547	1300.437429
91	265056.000000	0.000006	263755.562565	1300.437429
92	265056.000000	0.000004	263755.562568	1300.437429
93	265056.000000	0.000002	263755.562569	1300.437429
94	265056.000000	0.000000	263755.562571	1300.437429
95	265056.000000	0.000000	263755.562571	1300.437429
96	265056.000000	0.000000	263755.562571	1300.437429
97	265056.000000	0.000000	263755.562571	1300.437429
98	265056.000000	0.000000	263755.562571	1300.437429
99	265056.000000	0.000000	263755.562571	1300.437429
100	265056.000000	0.000000	263755.562571	1300.437429
101	265056.000000	0.000000	263755.562571	1300.437429
102	265056.000000	0.000000	263755.562571	1300.437429
103	265056.000000	0.000000	263755.562571	1300.437429
104	265056.000000	0.000000	263755.562571	1300.437429
105	265056.000000	0.000000	263755.562571	1300.437429
106	265056.000000	0.000000	263755.562571	1300.437429
107	265056.000000	0.000000	263755.562571	1300.437429
108	265056.000000	0.000000	263755.562571	1300.437429
109	265056.000000	0.000000	263755.562571	1300.437429
110	265056.000000	0.000000	263755.562571	1300.437429
111	265056.000000	0.000000	263755.562571	1300.437429
112	265056.000000	0.000000	263755.562571	1300.437429
113	265056.000000	0.000000	263755.562571	1300.437429
114	265056.000000	0.000000	263755.562571	1300.437429
115	265056.000000	0.000000	263755.562571	1300.437429
116	265056.000000	0.000000	263755.562571	1300.437429
117	265056.000000	0.000000	263755.562571	1300.437429
118	265056.000000	0.000000	263755.562571	1300.437429
119	265056.000000	0.000000	263755.562571	1300.437429
120	265056.000000	0.000000	263755.562571	1300.437429
121	265056.000000	0.000000	263755.562571	1300.437429
122	265056.000000	0.000000	263755.562571	1300.437429
123	265056.000000	0.000000	263755.562571	1300.437429
124	265056.000000	0.000000	263755.562571	1300.437429
125	265056.000000	0.000000	263755.562571	1300.437429
126	265056.000000	0.000000	263755.562571	1300.437429
127	265056.000000	0.000000	263755.562571	1300.437429
128	265056.000000	0.000000	263755.562571	1300.437429
129	265056.000000	0.000000	263755.562571	1300.437429
130	265056.000000	0.000000	263755.562571	1300.437429
131	265056.000000	0.000000	263755.562571	1300.437429
132	265056.000000	0.000000	263755.562571	1300.437429
133	265056.000000	0.000000	263755.562571	1300.437429
134	265056.000000	0.000000	263755.562571	1300.437429
135	265056.000000	0.000000	263755.562571	1300.437429
136	265056.000000	0.000000	263755.562571	1300.437429
137	265056.000000	0.000000	263755.562571	1300.437429
138	265056.000000	0.000000	263755.562571	1300.437429
139	265056.000000	0.000000	263755.562571	1300.437429
140	265056.000000	0.000000	263755.562571	1300.437429
141	265056.000000	0.000000	263755.562571	1300.437429
142	265056.000000	0.000000	263755.562571	1300.437429
143	265056.000000	0.000000	263755.562571	1300.437429
144	265056.000000	0.000000	263755.562571	1300.437429
145	265056.000000	0.000000	263755.562571	1300.437429
146	265056.000000	0.000000	263755.562571	1300.437429
147	265056.000000	0.000000	263755.562571	1300.437429
148	265056.000000	0.000000	263755.562571	1300.437429
149	265056.000000	0.000000	263755.562571	1300.437429
150	265056.000000	0.000000	263755.562571	1300.437429
151	265056.000000	0.000000	263755.562571	1300.437429
152	265056.000000	0.000000	263755.562571	1300.437429
153	265056.000000	0.000000	263755.562571	1300.437429
154	265056.000000	0.000000	263755.562571	1300.437429
155	265056.000000	0.000000	263755.562571	1300.437429
156	265056.000000	0.000000	263755.562571	1300.437429
157	265056.000000	0.000000	263755.562571	1300.437429
158	265056.000000	0.000000	263755.562571	1300.437429
159	265056.000000	0.000000	263755.562571	1300.437429
160	265056.000000	0.000000	263755.562571	1300.437429
161	265056.000000	0.000000	263755.562571	1300.437429
162	265056.000000	0.000000	263755.562571	1300.437429
163	265056.000000	0.000000	263755.562571	1300.437429
164	265056.000000	0.000000	263755.562571	1300.437429
165	265056.000000	0.000000	263755.562571	1300.437429
166	265056.000000	0.000000	263755.562571	1300.437429
167	265056.000000	0.000000	263755.562571	1300.437429
168	265056.000000	0.000000	263755.562571	1300.437429
169	265056.000000	0.000000	263755.562571	1300.437429
170	265056.000000	0.000000	263755.562571	1300.437429
171	265056.000000	0.000000	263755.562571	1300.437429
172	265056.000000	0.000000	263755.562571	1300.437429
173	265056.000000	0.000000	263755.562571	1300.437429
174	265056.000000	0.000000	263755.562571	1300.437429
175	265056.000000	0.000000	263755.562571	1300.437429
176	265056.000000	0.000000	263755.562571	1300.437429
177	265056.000000	0.000000	263755.562571	1300.437429
178	265056.000000	0.000000	263755.562571	1300.437429
179	265056.000000	0.000000	263755.562571	1300.437429
180	265056.000000	0.000000	263755.562571	1300.437429
181	265056.000000	0.000000	263755.562571	1300.437429
182	265056.000000	0.000000	263755.562571	1300.437429
183	265056.000000	0.000000	263755.562571	1300.437429
184	265056.000000	0.000000	263755.562571	1300.437429
185	265056.000000	0.000000	263755.562571	1300.437429
186	265056.000000	0.000000	263755.562571	1300.437429
187	265056.000000	0.000000	263755.562571	1300.437429
188	265056.000000	0.000000	263755.562571	1300.437429
189	265056.000000	0.000000	263755.562571	1300.437429
190	265056.000000	0.000000	263755.562571	1300.437429
191	265056.000000	0.000000	263755.562571	1300.437429
192	265056.000000	0.000000	263755.562571	1300.437429
193	265056.000000	0.000000	263755.562571	1300.437429
194	265056.000000	0.000000	263755.562571	1300.437429
195	265056.000000	0.000000	263755.562571	1300.437429
196	265056.000000	0.000000	263755.562571	1300.437429
197	265056.000000	0.000000	263755.562571	1300.437429
198	265056.000000	0.000000	263755.562571	1300.437429
199	265056.000000	0.000000	263755.562571	1300.437429
200	265056.000000	0.000000	263755.562571	1300.437429
201	265056.000000	0.000000	263755.562571	1300.437429
202	265056.000000	0.000000	263755.562571	1300.437429
203	265056.000000	0.000000	263755.562571	1300.437429
204	265056.000000	0.000000	263755.562571	1300.437429
205	265056.000000	0.000000	263755.562571	1300.437429
206	265056.000000	0.000000	263755.562571	1300.437429
207	265056.000000	0.000000	263755.562571	1300.437429
208	265056.000000	0.000000	263755.562571	1300.437429
209	265056.000000	0.000000	263755.562571	1300.437429
210	265056.000000	0.000000	263755.562571	1300.437429
211	265056.000000	0.000000	263755.562571	1300.437429
212	265056.000000	0.000000	263755.562571	1300.437429
213	265056.000000	0.000000	263755.562571	1300.437429
214	265056.000000	0.000000	263755.562571	1300.437429
215	265056.000000	0.000000	263755.562571	1300.437429
216	265056.000000	0.000000	263755.562571	1300.437429
217	265056.000000	0.000000	263755.562571	1300.437429
218	265056.000000	0.000000	263755.562571	1300.437429
219	265056.000000	0.000000	263755.562571	1300.437429
220	265056.000000	0.000000	263755.562571	1300.437429
221	265056.000000	0.000000	263755.562571	1300.437429
222	265056.000000	0.000000	263755.562571	1300.437429
223	265056.000000	0.000000	263755.562571	1300.437429
224	265056.000000	0.000000	263755.562571	1300.437429
225	265056.000000	0.000000	263755.562571	1300.437429
226	265056.000000	0.000000	263755.562571	1300.437429
227	265056.000000	0.000000	263755.562571	1300.437429
228	265056.000000	0.000000	263755.562571	1300.437429
229	265056.000000	0.000000	263755.562571	1300.437429
230	265056.000000	0.000000	263755.562571	1300.437429
231	265056.000000	0.000000	263755.562571	1300.437429
232	265056.000000	0.000000	263755.562571	1300.437429
233	265056.000000	0.000000	263755.562571	1300.437429
234	265056.000000	0.000000	263755.562571	1300.437429
235	265056.000000	0.000000	263755.562571	1300.437429
236	265056.000000	0.000000	263755.562571	1300.437429
237	265056.000000	0.000000	263755.562571	1300.437429
238	265056.000000	0.000000	263755.562571	1300.437429
239	265056.000000	0.000000	263755.562571	1300.437429
240	265056.000000	0.000000	263755.562571	1300.437429
241	265056.000000	0.000000	263755.562571	1300.437429
242	265056.000000	0.000000	263755.562571	1300.437429
243	265056.000000	0.000000	263755.562571	1300.437429
244	265056.000000	0.000000	263755.562571	1300.437429
245	265056.000000	0.000000	263755.562571	1300.437429
246	265056.000000	0.000000	263755.562571	1300.437429
247	265056.000000	0.000000	263755.562571	1300.437429
248	265056.000000	0.000000	263755.562571	1300.437429
249	265056.000000	0.000000	263755.562571	1300.437429
250	265056.000000	0.000000	263755.562571	1300.437429
251	265056.000000	0.000000	263755.562571	1300.437429
252	265056.000000	0.000000	263755.562571	1300.437429
253	265056.000000	0.000000	263755.562571	1300.437429
254	265056.000000	0.000000	263755.562571	1300.437429
255	265056.000000	0.000000	263755.562571	1300.437429
256	265056.000000	0.000000	263755.562571	1300.437429
257	265056.000000	0.000000	263755.562571	1300.437429
258	265056.000000	0.000000	263755.562571	1300.437429
259	265056.000000	0.000000	263755.562571	1300.437429
260	265056.000000	0.000000	263755.562571	1300.437429
261	265056.000000	0.000000	263755.562571	1300.437429
262	265056.000000	0.000000	263755.562571	1300.437429
263	265056.000000	0.000000	263755.562571	1300.437429
264	265056.000000	0.000000	263755.562571	1300.437429
265	265056.000000	0.000000	263755.562571	1300.437429
266	265056.000000	0.000000	263755.562571	1300.437429
267	265056.000000	0.000000	263755.562571	1300.437429
268	265056.000000	0.000000	263755.562571	1300.437429
269	265056.000000	0.000000	263755.562571	1300.437429
270	265056.000000	0.000000	263755.562571	1300.437429
271	265056.000000	0.000000	263755.562571	1300.437429
272	265056.000000	0.000000	263755.562571	1300.437429
273	265056.000000	0.000000	263755.562571	1300.437429
274	265056.000000	0.000000	263755.562571	1300.437429
275	265056.000000	0.000000	263755.562571	1300.437429
