day	sum	infected	cured	deceased
0	0.000000	0.000000	0.000000	0.000000
1	0.045854	0.045629	0.000000	0.000225
2	0.108096	0.107092	0.000000	0.001003
3	0.192544	0.190019	0.000001	0.002524
4	0.307216	0.302162	0.000002	0.005052
5	0.462894	0.453946	0.000005	0.008942
6	0.673959	0.659283	0.000010	0.014666
7	0.960630	0.937720	0.000021	0.022889
8	1.350073	1.315525	0.000041	0.034507
9	1.878172	1.827390	0.000079	0.050703
10	2.593861	2.520638	0.000149	0.073075
11	3.566414	3.462229	0.000282	0.103904
12	4.887441	4.740683	0.000536	0.146222
13	6.680124	6.475009	0.001010	0.204105
14	9.105859	8.821211	0.001834	0.282815
15	12.399286	12.005836	0.003380	0.390071
16	16.872578	16.330081	0.006290	0.536207
17	22.941082	22.194249	0.011800	0.735033
18	31.152988	30.126902	0.021510	1.004576
19	42.275792	40.866333	0.039275	1.370184
20	57.355521	55.416297	0.072537	1.866687
21	77.766648	75.091263	0.135177	2.540208
22	105.319164	101.621892	0.246129	3.451143
23	142.466912	137.339605	0.445337	4.681970
24	192.534530	185.373382	0.814849	6.346298
25	259.767399	249.681190	1.494967	8.591243
26	349.691885	335.373538	2.708435	11.609911
27	469.370710	448.894520	4.822204	15.653986
28	627.705298	598.047784	8.600735	21.056778
29	835.444544	791.980270	15.229537	28.234738
30	1104.818181	1040.538941	26.588206	37.691035
31	1450.814143	1355.174780	45.563830	50.075533
32	1887.907335	1745.169871	76.614158	66.123305
33	2428.962151	2216.390947	125.939653	86.631551
34	3085.232476	2771.289453	201.483434	112.459589
35	3864.965111	3407.967268	312.510796	144.487048
36	4768.310657	4114.706964	470.091570	183.512123
37	5790.291531	4875.552487	684.559506	230.179539
38	6922.087204	5673.000159	964.136613	284.950432
39	8151.034197	6487.998680	1314.933165	348.102352
40	9460.756790	7300.008445	1741.014279	419.734067
41	10835.034817	8091.291476	2243.970289	499.773052
42	12259.908817	8851.389577	2820.648330	587.870910
43	13722.913427	9572.408369	3466.891825	683.613233
44	15213.320617	10248.473573	4178.283292	786.563752
45	16722.139689	10875.731018	4950.144340	896.264331
46	18242.117282	11452.346634	5777.535676	1012.234972
47	19767.737367	11978.506457	6655.257099	1133.973811
48	21295.221247	12456.416625	7577.847502	1260.957120
49	22822.176666	12889.899348	8539.642860	1392.634458
50	24345.893520	13281.362455	9536.027835	1528.503230
51	25864.930837	13633.114225	10563.620430	1668.196182
52	27378.194751	13947.598233	11619.232214	1811.364303
53	28884.763229	14227.271282	12699.824335	1957.667612
54	30383.886071	14474.603394	13802.507522	2106.775155
55	31874.984914	14692.077815	14924.542089	2258.365010
56	33357.653224	14882.191016	16063.337926	2412.124283
57	34831.656305	15047.452688	17216.454508	2567.749109
58	36296.931290	15190.385747	18381.600890	2724.944653
59	37753.565116	15313.480297	19556.655721	2883.429098
60	39201.445187	15418.308160	20740.122130	3043.014897
61	40640.509730	15506.015306	21930.927486	3203.566937
62	42070.766056	15577.807775	23128.011058	3364.947223
63	43492.227856	15634.870147	24330.337231	3527.020478
64	44904.915201	15678.365547	25536.895510	3689.654144
65	46308.854544	15709.435645	26746.700516	3852.718382
66	47704.078717	15729.200653	27958.791991	4016.086074
67	49090.626936	15738.759325	29172.234793	4179.632817
68	50468.544795	15739.188962	30386.118901	4343.236932
69	51837.884270	15731.545404	31599.559410	4506.779456
70	53198.702368	15716.840193	32811.715360	4670.146814
71	54551.044928	15695.664917	34022.105132	4833.274878
72	55894.960582	15668.395935	35230.439531	4996.125117
73	57230.500422	15635.431441	36436.412525	5158.656457
74	58557.715402	15597.171929	37639.715958	5320.827516
75	59876.656340	15554.020184	38840.039550	5482.596606
76	61187.373919	15506.381289	40037.070896	5643.921735
77	62489.918685	15454.662620	41230.495466	5804.760599
78	63784.341048	15399.273848	42419.996609	5965.070591
79	65070.691281	15340.626940	43605.255545	6124.808797
80	66349.019523	15279.136156	44785.951372	6283.931994
81	67619.375774	15215.218053	45961.761065	6442.396656
82	68881.809902	15149.291483	47132.359472	6600.158946
83	70136.371484	15081.712755	48297.476305	6757.182425
84	71383.109349	15012.544215	49457.099617	6913.465517
85	72622.072172	14941.858064	50611.208674	7069.005435
86	73853.308369	14869.740852	51759.769865	7223.797652
87	75076.866069	14796.285877	52902.743385	7377.836806
