day	sum	infected	cured	deceased
0	2	0	0	0
1	2	0	0	0
2	2	0	0	0
3	2	0	0	0
4	2	0	0	0
5	2	0	0	0
6	3	0	0	0
7	3	0	0	0
8	3	0	0	0
9	3	0	0	0
10	3	0	0	0
11	3	0	0	0
12	3	0	0	0
13	3	0	0	0
14	3	0	0	0
15	3	0	0	0
16	3	0	0	0
17	3	0	0	0
18	3	0	0	0
19	3	0	0	0
20	3	0	0	0
21	3	0	0	0
22	33	0	0	2
23	79	0	1	2
24	230	0	2	7
25	232	0	2	7
26	322	311	1	10
27	400	385	3	12
28	650	588	45	17
29	888	821	46	21
30	1128	1049	50	29
31	1694	1577	83	34
32	2036	1835	149	52
33	2502	2263	160	79
34	3089	2706	276	107
35	3858	3296	414	148
36	4636	3916	523	197
37	5883	5061	589	233
38	7375	6387	622	366
39	9172	7985	724	463
40	10149	8514	1004	631
41	12462	10590	1045	827
42	15113	12839	1258	1016
43	17660	14955	1439	1266
44	21157	17750	1966	1441
45	24747	20603	2335	1809
