day	sum	infected	cured	deceased
0	1	1	0	0
1	1	1	0	0
2	1	1	0	0
3	1	1	0	0
4	1	1	0	0
5	1	1	0	0
6	1	1	0	0
7	1	1	0	0
8	1	1	0	0
9	2	2	0	0
10	2	2	0	0
11	2	2	0	0
12	2	2	0	0
13	2	2	0	0
14	2	2	0	0
15	2	2	0	0
16	2	2	0	0
17	2	2	0	0
18	2	2	0	0
19	2	2	0	0
20	2	2	0	0
21	2	2	0	0
22	2	2	0	0
23	3	1	2	0
24	3	1	2	0
25	9	7	2	0
26	13	11	2	0
27	25	23	2	0
28	41	39	2	0
29	74	72	2	0
30	74	72	2	0
31	124	121	3	0
32	165	161	3	1
33	223	218	3	2
34	248	242	3	3
35	400	389	3	8
36	613	566	30	17
37	1046	988	32	26
38	1231	1169	32	30
39	1695	1628	32	35
40	2968	2721	183	64
