day	sum	infected	cured	deceased
0	0.000000	0.000000	0.000000	0.000000
1	0.000460	0.000458	0.000000	0.000003
2	0.001127	0.001114	0.000000	0.000012
3	0.002092	0.002060	0.000000	0.000032
4	0.003498	0.003433	0.000000	0.000066
5	0.005523	0.005403	0.000000	0.000120
6	0.008433	0.008230	0.000000	0.000203
7	0.012662	0.012333	0.000000	0.000329
8	0.018814	0.018297	0.000000	0.000518
9	0.027730	0.026933	0.000000	0.000797
10	0.040591	0.039386	0.000000	0.001205
11	0.059164	0.057365	0.000000	0.001798
12	0.086144	0.083479	0.000000	0.002665
13	0.125254	0.121327	0.000000	0.003927
14	0.181815	0.176057	0.000000	0.005758
15	0.263501	0.255095	0.000000	0.008406
16	0.382034	0.369782	0.000001	0.012251
17	0.553885	0.536049	0.000002	0.017834
18	0.802241	0.776327	0.000004	0.025909
19	1.161211	1.123625	0.000008	0.037578
20	1.682116	1.627587	0.000017	0.054512
21	2.437258	2.358136	0.000037	0.079085
22	3.527634	3.412985	0.000075	0.114574
23	5.104943	4.938908	0.000154	0.165880
24	7.393261	7.152617	0.000326	0.240318
25	10.709820	10.360803	0.000706	0.348311
26	15.495000	14.989449	0.001440	0.504111
27	22.420762	21.688278	0.002981	0.729504
28	32.460297	31.397674	0.006292	1.056331
29	46.986813	45.443786	0.013365	1.529661
30	67.950134	65.709777	0.027495	2.212863
31	98.279806	95.020382	0.057584	3.201840
32	142.115822	137.360310	0.122231	4.633281
33	205.267680	198.316601	0.252555	6.698524
34	296.174230	285.975895	0.521444	9.676892
35	426.903544	411.840700	1.088779	13.974065
36	614.084440	591.652777	2.274783	20.156880
37	880.580770	846.958672	4.611932	29.010166
38	1257.930090	1206.852169	9.413974	41.663947
39	1786.830729	1708.103807	19.093032	59.633890
40	2519.518959	2396.724855	37.840790	84.953314
41	3518.151797	3324.570710	73.294822	120.286266
42	4847.607884	4539.727196	138.981045	168.899643
43	6573.739665	6085.619136	253.534264	234.586264
44	8745.911234	7978.438439	445.824673	321.648122
45	11383.288491	10193.388594	755.403094	434.496803
46	14475.327247	12680.354499	1218.239951	576.732798
47	17981.752475	15364.622759	1866.027074	751.102642
48	21832.558304	18146.881686	2726.177702	959.498916
49	25941.406149	20920.922205	3817.713965	1202.769978
50	30231.993825	23612.801004	5139.100274	1480.092546
51	34635.164025	26164.408470	6680.828942	1789.926613
52	39094.392929	28534.520701	8429.508650	2130.363578
53	43565.797447	30698.806965	10367.864196	2499.126285
54	48018.116112	32649.803221	12474.743576	2893.569315
55	52428.874880	34389.865254	14728.136558	3310.873069
56	56783.747099	35925.526657	17109.724471	3748.495971
57	61073.512295	37267.053954	19602.422570	4204.035771
58	65291.163847	38425.583303	22190.383037	4675.197507
59	69431.908992	39413.120500	24858.994989	5159.793504
60	73493.168819	40242.540977	27594.884471	5655.743372
61	77474.578271	40927.589800	30385.914462	6161.074010
62	81377.025581	41482.624082	33220.554262	6673.847237
63	85200.466413	41919.042223	36088.989141	7192.435048
64	88945.942735	42245.868830	38984.399256	7715.674650
65	92614.602186	42471.862642	41900.289362	8242.450182
66	96207.646097	42605.544421	44830.418978	8771.682698
67	99726.329488	42655.196940	47768.802387	9302.330161
68	103171.961076	42628.864992	50709.708636	9833.387448
69	106545.903266	42534.355387	53647.661533	10363.886346
70	109849.572156	42379.236948	56577.439653	10892.895555
71	113084.437536	42170.840519	59494.076332	11419.520686
72	116252.014725	41916.180579	62392.918421	11942.915725
73	119353.663368	41619.859377	65271.213988	12462.590004
74	122390.698995	41285.291951	68127.179665	12978.227379
75	125364.452039	40916.069076	70958.899654	13489.483308
76	128276.229677	40515.682354	73764.522633	13996.024691
77	131127.315834	40087.524208	76542.261755	14497.529871
78	133918.971178	39634.887887	79290.394655	14993.688636
79	136652.433124	39160.967465	82007.263441	15484.202218
80	139328.915830	38668.857839	84691.274701	15968.783291
81	141949.610202	38161.554731	87340.899498	16447.155973
82	144515.683888	37641.954687	89954.673375	16919.055826
83	147028.282532	37112.791560	92531.251157	17384.239815
84	149488.527635	36575.781899	95070.128628	17842.617108
85	151897.499690	36032.029699	97571.285815	18294.184177
86	154256.257655	35482.640940	100034.682868	18738.933848
87	156565.841656	34928.717679	102460.267315	19176.856663
88	158827.272982	34371.358048	104847.974050	19607.940884
89	161041.554085	33811.656256	107197.725341	20032.172487
90	163209.668583	33250.702586	109509.430828	20449.535169
91	165332.581259	32689.583397	111782.987521	20860.010340
92	167411.238060	32129.381124	114018.279803	21263.577133
93	169446.566097	31571.174276	116215.179426	21660.212394
94	171439.473645	31016.037440	118373.545516	22049.890689
95	173390.850147	30465.041277	120493.224569	22432.584301
96	175301.570092	29919.034518	122574.238408	22808.297166
97	177172.485173	29378.055045	124617.276382	23177.153746
98	179004.412458	28842.220248	126622.931164	23539.261046
99	180798.154439	28311.678671	128591.756694	23894.719075
100	182554.499770	27786.593610	130524.282690	24243.623470
101	184274.223262	27267.143115	132421.014652	24586.065496
102	185958.085888	26753.519987	134282.433857	24922.132044
103	187606.834779	26245.931783	136108.997362	25251.905633
104	189221.203226	25744.600811	137901.138006	25575.464409
105	190801.910682	25249.764132	139659.264404	25892.882146
106	192349.662756	24761.673561	141383.760954	26204.228242
107	193865.151220	24280.595665	143074.987830	26509.567725
108	195349.054004	23806.811765	144733.280988	26808.961250
109	196802.035199	23340.617936	146358.952164	27102.465099
110	198224.745098	22882.324104	147952.289670	27390.131324
111	199617.828352	22431.910814	149513.856050	27672.061488
112	200981.899414	21989.104480	151044.403531	27948.391402
113	202317.549634	21553.772479	152544.545371	28219.231785
114	203625.360758	21125.794544	154014.876217	28484.689996
115	204905.904919	20705.062772	155455.972112	28744.870036
116	206159.744646	20291.481614	156868.390487	28999.872545
117	207387.432858	19884.967885	158252.670168	29249.794805
118	208589.512863	19485.450756	159609.331370	29494.730737
119	209766.518366	19092.871761	160938.875703	29734.770902
120	210918.973459	18707.184789	162241.786165	29970.002504
121	212047.392628	18328.356093	163518.527149	30200.509385
122	213152.280751	17956.364283	164769.544440	30426.372029
123	214234.133097	17591.200327	165995.265212	30647.667559
124	215293.435327	17232.867556	167196.098033	30864.469738
125	216330.663492	16881.381657	168372.432862	31076.848973
126	217346.284038	16536.770679	169524.641052	31284.872307
127	218340.753800	16199.075030	170653.075344	31488.603426
128	219314.527901	15868.192802	171758.207582	31688.127517
129	220268.041446	15543.833114	172840.652723	31883.555609
130	221201.702197	15225.844808	173900.884213	32074.973177
131	222115.911620	14914.084791	174939.363327	32262.463501
132	223011.065002	14608.416691	175956.540420	32446.107891
133	223887.551457	14308.710846	176952.854927	32625.985684
134	224745.753923	14014.844314	177928.735365	32802.174244
135	225586.049162	13726.700867	178884.599328	32974.748967
136	226408.807759	13444.170993	179820.853492	33143.783273
137	227214.394124	13167.151894	180737.893614	33309.348616
138	228003.166492	12895.547490	181636.104529	33471.514473
139	228775.476922	12629.268415	182515.860153	33630.348354
140	229531.671297	12368.232020	183377.523482	33785.915794
141	230272.089323	12112.362371	184221.446593	33938.280359
142	230997.064533	11861.590249	185047.970643	34087.503642
143	231706.924281	11615.853151	185857.425866	34233.645264
144	232401.989749	11375.095291	186650.131581	34376.762877
145	233082.575940	11139.267596	187426.396184	34516.912159
146	233748.991682	10908.327711	188186.517152	34654.146818
147	234401.539628	10682.239996	188930.781042	34788.518590
148	235040.519855	10460.949752	189659.488373	34920.081731
149	235666.234330	10244.250028	190373.070232	35048.914071
150	236278.947714	10032.015286	191071.857144	35175.075285
151	236878.916580	9824.144377	191756.152124	35298.620078
152	237466.393981	9620.539108	192426.252703	35419.602170
153	238041.629457	9421.104239	193082.450931	35538.074287
154	238604.869026	9225.747484	193725.033375	35654.088166
155	239156.355192	9034.379514	194354.281121	35767.694557
156	239696.326941	8846.913952	194970.469771	35878.943217
157	240225.019742	8663.267380	195573.869446	35987.882915
158	240742.665545	8483.359330	196164.744785	36094.561430
159	241249.492786	8307.112292	196743.354945	36199.025550
160	241745.726382	8134.451709	197309.953598	36301.321074
161	242231.587732	7965.305980	197864.788939	36401.492813
162	242707.294718	7799.606457	198408.103676	36499.584585
163	243173.061707	7637.287449	198940.135038	36595.639220
164	243629.099546	7478.286218	199461.114769	36689.698559
165	244075.615566	7322.542982	199971.269133	36781.803452
166	244512.813581	7170.000912	200470.818911	36871.993759
167	244940.893888	7020.606135	200959.979403	36960.308351
168	245360.053266	6874.307733	201438.960424	37046.785109
169	245770.484976	6731.057742	201907.966310	37131.460924
170	246172.378764	6590.811153	202367.195913	37214.371699
171	246565.920857	6453.525912	202816.842602	37295.552343
172	246951.293967	6319.162919	203257.094267	37375.036780
173	247328.682704	6187.672853	203688.149066	37452.860786
174	247698.285109	6058.931824	204110.279693	37529.073593
175	248060.252306	5932.868983	204523.674175	37603.709148
176	248414.726973	5809.427205	204928.501759	37676.798009
177	248761.850238	5688.550516	205324.929404	37748.370318
178	249101.761681	5570.184093	205713.121783	37818.455805
179	249434.599335	5454.274267	206093.241279	37887.083789
180	249760.499681	5340.768517	206465.447991	37954.283174
181	250079.597654	5229.615478	206829.899726	38020.082450
182	250392.026639	5120.764934	207186.752009	38084.509697
183	250697.918472	5014.167820	207536.158072	38147.592580
184	250997.403440	4909.776226	207878.268863	38209.358351
185	251290.610282	4807.543391	208213.233041	38269.833850
186	251577.666189	4707.423707	208541.196979	38329.045503
187	251858.696801	4609.372717	208862.304761	38387.019324
188	252133.826212	4513.347115	209176.698183	38443.780913
189	252403.176964	4419.304750	209484.516756	38499.355458
190	252666.870053	4327.204618	209785.897702	38553.767733
191	252925.024925	4237.006871	210080.975954	38607.042100
192	253177.759477	4148.672809	210369.884160	38659.202507
193	253425.190058	4062.164888	210652.752680	38710.272490
194	253667.431467	3977.446711	210929.709585	38760.275171
195	253904.596957	3894.483037	211200.880659	38809.233260
196	254136.798229	3813.239774	211466.389401	38857.169054
197	254364.145436	3733.683982	211726.357019	38904.104435
198	254586.747184	3655.783874	211980.902436	38950.060875
199	254804.710529	3579.508814	212230.142285	38995.059430
200	255018.140977	3504.829316	212474.190914	39039.120747
201	255227.142488	3431.717050	212713.160383	39082.265055
202	255431.817471	3360.144834	212947.160463	39124.512174
203	255632.266786	3290.086638	213176.298639	39165.881510
204	255828.589747	3221.517585	213400.680107	39206.392055
205	256020.884116	3154.413950	213620.407778	39246.062388
206	256209.243725	3088.733059	213835.597281	39284.913385
207	256393.744470	3024.416118	214046.362706	39322.965646
208	256574.454538	2961.434764	214252.785838	39360.233936
209	256751.441505	2899.761582	214454.947142	39396.732781
210	256924.772355	2839.369631	214652.926178	39432.476546
211	257094.513481	2780.232445	214846.801604	39467.479433
212	257260.730686	2722.324033	215036.651174	39501.755478
213	257423.489180	2665.618879	215222.551742	39535.318559
214	257582.853584	2610.091940	215404.579258	39568.182386
215	257738.887927	2555.718650	215582.808769	39600.360509
216	257891.655647	2502.474914	215757.314419	39631.866314
217	258041.219592	2450.337116	215928.169451	39662.713026
218	258187.642018	2399.282111	216095.446204	39692.913703
219	258330.984590	2349.287231	216259.216115	39722.481244
220	258471.308382	2300.330281	216419.549718	39751.428383
221	258608.673878	2252.389542	216576.516644	39779.767692
222	258743.140968	2205.443767	216730.185623	39807.511578
223	258874.768956	2159.472187	216880.624480	39834.672288
224	259003.616551	2114.454506	217027.900140	39861.261905
225	259129.741871	2070.370903	217172.078622	39887.292347
226	259253.202446	2027.202030	217313.225045	39912.775371
227	259374.055212	1984.929015	217451.403625	39937.722572
228	259492.356515	1943.533461	217586.677675	39962.145379
229	259608.162112	1902.997445	217719.109605	39986.055062
230	259721.527164	1863.303519	217848.760923	40009.462723
231	259832.506247	1824.434708	217975.692233	40032.379306
232	259941.153342	1786.374514	218099.963239	40054.815589
233	260047.521839	1749.106912	218221.632739	40076.782188
234	260151.664540	1712.616353	218340.758632	40098.289556
235	260253.633653	1676.887760	218457.397911	40119.347982
236	260353.480797	1641.906533	218571.606668	40139.967595
237	260451.256997	1607.658547	218683.440093	40160.158357
238	260547.012692	1574.130149	218792.952472	40179.930071
239	260640.797724	1541.308163	218900.197188	40199.292373
240	260732.661350	1509.179885	219005.226724	40218.254740
241	260822.652230	1477.733090	219108.092658	40236.826483
242	260910.818439	1446.956023	219208.845665	40255.016752
243	260997.206236	1416.836750	219307.535041	40272.834446
244	261081.834312	1387.350680	219404.197448	40290.286184
245	261164.725839	1358.479552	219498.867983	40307.378304
246	261245.911706	1330.210140	219591.584015	40324.117552
247	261325.422529	1302.529476	219682.382461	40340.510592
248	261403.288652	1275.424857	219771.299785	40356.564009
249	261479.540145	1248.883841	219858.372000	40372.284304
250	261554.206807	1222.894245	219943.634665	40387.677897
251	261627.318162	1197.444149	220027.122887	40402.751126
252	261698.903464	1172.521895	220108.871320	40417.510248
253	261768.991692	1148.116087	220188.914167	40431.961439
254	261837.611553	1124.215587	220267.285176	40446.110790
255	261904.791482	1100.809523	220344.017645	40459.964314
256	261970.559640	1077.887281	220419.144418	40473.527941
257	262034.943916	1055.438509	220492.697888	40486.807518
258	262097.971926	1033.453119	220564.709993	40499.808813
259	262159.671013	1011.921282	220635.212221	40512.537510
260	262220.068248	990.833430	220704.235607	40524.999212
261	262279.190429	970.180258	220771.810731	40537.199440
262	262337.064080	949.952722	220837.967724	40549.143634
263	262393.715455	930.142040	220902.736263	40560.837152
264	262449.170533	910.739690	220966.145572	40572.285270
265	262503.455019	891.737412	221028.224424	40583.493184
266	262556.594350	873.127208	221089.001137	40594.466005
267	262608.613685	854.901342	221148.503578	40605.208765
268	262659.537914	837.052337	221206.759163	40615.726414
269	262709.391653	819.572981	221263.794853	40626.023819
270	262758.199243	802.456319	221319.637158	40636.105766
271	262805.984757	785.695662	221374.312134	40645.976961
272	262852.771991	769.284579	221427.845387	40655.642025
273	262898.584470	753.216903	221480.262068	40665.105499
274	262943.445446	737.486727	221531.586876	40674.371843
275	262987.377899	722.088405	221581.844059	40683.445435
276	263030.404535	707.016553	221631.057412	40692.330570
277	263072.547789	692.266050	221679.250276	40701.031463
278	263113.829820	677.832033	221726.445540	40709.552247
279	263154.272518	663.709905	221772.665642	40717.896971
280	263193.897498	649.895325	221817.932567	40726.069606
281	263232.718782	636.377775	221862.267103	40734.073904
282	263270.744219	623.143811	221905.687286	40741.913122
283	263307.987905	610.186977	221948.210525	40749.590403
284	263344.463828	597.500979	221989.854001	40757.108849
285	263380.185855	585.079664	222030.634671	40764.471520
286	263415.167726	572.917026	222070.569262	40771.681439
287	263449.423058	561.007201	222109.674275	40778.741582
288	263482.965344	549.344470	222147.965985	40785.654889
289	263515.807953	537.923259	222185.460437	40792.424257
290	263547.964128	526.738136	222222.173450	40799.052541
291	263579.446990	515.783814	222258.120618	40805.542558
292	263610.269535	505.055151	222293.317305	40811.897079
293	263640.444635	494.547146	222327.778649	40818.118840
294	263669.985038	484.254946	222361.519560	40824.210532
295	263698.903366	474.173840	222394.554721	40830.174805
296	263727.212120	464.299260	222426.898590	40836.014270
297	263754.923675	454.626785	222458.565395	40841.731495
298	263782.050281	445.152134	222489.569137	40847.329010
299	263808.604066	435.871174	222519.923592	40852.809300
300	263834.597031	426.779913	222549.642307	40858.174811
301	263860.041056	417.874505	222578.738602	40863.427949
302	263884.947895	409.151248	222607.225570	40868.571077
303	263909.329178	400.606583	222635.116078	40873.606518
304	263933.196411	392.237094	222662.422763	40878.536554
305	263956.560975	384.039512	222689.158037	40883.363425
306	263979.434129	376.010710	222715.334086	40888.089332
307	264001.827005	368.147706	222740.962865	40892.716434
308	264023.750613	360.447661	222766.056105	40897.246847
309	264045.215839	352.907881	222790.625308	40901.682649
310	264066.233442	345.525815	222814.681751	40906.025876
311	264086.814060	338.299057	222838.236481	40910.278522
312	264106.968205	331.225345	222861.300319	40914.442541
313	264126.706266	324.302560	222883.883861	40918.519845
314	264146.038507	317.528729	222905.997471	40922.512307
315	264164.975068	310.902020	222927.651291	40926.421756
316	264183.525965	304.420749	222948.855233	40930.249983
317	264201.701089	298.083371	222969.618981	40933.998737
318	264219.508860	291.886723	222989.952349	40937.669788
319	264236.952343	285.821811	223009.865552	40941.264981
320	264254.037544	279.884814	223029.366912	40944.785818
321	264270.770853	274.072624	223048.464476	40948.233753
322	264287.158608	268.382213	223067.166177	40951.610218
323	264303.207086	262.810637	223085.479826	40954.916622
324	264318.922510	257.355030	223103.413123	40958.154357
325	264334.311047	252.012608	223120.973649	40961.324790
326	264349.378805	246.780667	223138.168868	40964.429270
327	264364.131838	241.656585	223155.006130	40967.469123
328	264378.576141	236.637819	223171.492667	40970.445654
329	264392.717654	231.721910	223187.635594	40973.360150
330	264406.562260	226.906476	223203.441912	40976.213873
331	264420.115787	222.189218	223218.918503	40979.008066
332	264433.384002	217.567918	223234.072134	40981.743951
333	264446.372621	213.040438	223248.909455	40984.422728
334	264459.087299	208.604720	223263.437001	40987.045577
335	264471.533637	204.258790	223277.661190	40989.613657
336	264483.717178	200.000750	223291.588321	40992.128106
337	264495.643409	195.828788	223305.224582	40994.590040
338	264507.317762	191.741169	223318.576039	40997.000555
339	264518.745609	187.736239	223331.648645	40999.360724
340	264529.932268	183.812429	223344.448236	41001.671603
341	264540.883000	179.968245	223356.980531	41003.934224
342	264551.603008	176.202277	223369.251134	41006.149598
343	264562.097441	172.513196	223381.265530	41008.318715
344	264572.371390	168.899753	223393.029091	41010.442546
345	264582.429888	165.360780	223404.547070	41012.522038
346	264592.277914	161.895190	223415.824604	41014.558120
347	264601.920389	158.501976	223426.866715	41016.551698
348	264611.362177	155.180212	223437.678308	41018.503657
349	264620.608088	151.929055	223448.264170	41020.414863
350	264629.662872	148.747739	223458.628975	41022.286157
351	264638.531224	145.635583	223468.777277	41024.118364
352	264647.217782	142.591983	223478.713515	41025.912284
353	264655.727130	139.616417	223488.442014	41027.668698
354	264664.063791	136.708446	223497.966978	41029.388366
355	264672.232109	133.867471	223507.292595	41031.072042
356	264680.233942	131.088703	223516.424494	41032.720745
357	264688.071574	128.369154	223525.367142	41034.335278
358	264695.747925	125.707261	223534.124335	41035.916330
359	264703.265891	123.101506	223542.699811	41037.464574
360	264710.628341	120.550419	223551.097248	41038.980674
361	264717.838117	118.052575	223559.320260	41040.465283
362	264724.898039	115.606595	223567.372402	41041.919042
363	264731.810897	113.211146	223575.257168	41043.342583
364	264738.579458	110.864942	223582.977992	41044.736525
365	264745.206462	108.566740	223590.538245	41046.101477
366	264751.694624	106.315348	223597.941239	41047.438037
367	264758.046632	104.109615	223605.190225	41048.746792
368	264764.265151	101.948440	223612.288393	41050.028318
369	264770.352816	99.830765	223619.238871	41051.283179
370	264776.312239	97.755579	223626.044729	41052.511931
371	264782.146006	95.721919	223632.708973	41053.715114
372	264787.856677	93.728865	223639.234549	41054.893263
373	264793.446787	91.775546	223645.624344	41056.046897
374	264798.918843	89.861133	223651.881183	41057.176526
375	264804.275327	87.984848	223658.007829	41058.282650
376	264809.518698	86.145954	223664.006986	41059.365757
377	264814.651386	84.343765	223669.881297	41060.426324
378	264819.675796	82.577637	223675.633343	41061.464817
379	264824.594308	80.846974	223681.265644	41062.481690
380	264829.409276	79.151226	223686.780661	41063.477389
381	264834.123026	77.489888	223692.180793	41064.452346
382	264838.737863	75.862501	223697.468378	41065.406983
383	264843.256061	74.268655	223702.645694	41066.341713
384	264847.679872	72.707982	223707.714957	41067.256934
385	264852.011521	71.180162	223712.678324	41068.153036
386	264856.253206	69.684920	223717.537889	41069.030397
387	264860.407102	68.222030	223722.295687	41069.889385
388	264864.475354	66.791308	223726.953690	41070.730356
389	264868.460086	65.392619	223731.513813	41071.553655
390	264872.363393	64.025872	223735.977905	41072.359616
391	264876.187345	62.691023	223740.347759	41073.148563
392	264879.933988	61.388074	223744.625104	41073.920809
393	264883.604550	60.115166	223748.812559	41074.676825
394	264887.199691	58.869548	223752.913010	41075.417134
395	264890.720769	57.650451	223756.928259	41076.142060
396	264894.169130	56.457136	223760.860072	41076.851922
397	264897.546109	55.288892	223764.710184	41077.547033
398	264900.853026	54.145027	223768.480298	41078.227702
399	264904.091190	53.024877	223772.172084	41078.894228
400	264907.261897	51.927804	223775.787183	41079.546910
401	264910.366428	50.853192	223779.327200	41080.186036
402	264913.406053	49.800451	223782.793711	41080.811891
403	264916.382030	48.769016	223786.188261	41081.424754
404	264919.295603	47.758346	223789.512360	41082.024897
405	264922.148002	46.767925	223792.767489	41082.612588
406	264924.940446	45.797262	223795.955095	41083.188089
407	264927.674141	44.845891	223799.076595	41083.751654
408	264930.350278	43.913370	223802.133373	41084.303535
409	264932.970038	42.999283	223805.126781	41084.843974
410	264935.534588	42.103236	223808.058141	41085.373211
411	264938.045082	41.224864	223810.928740	41085.891478
412	264940.502660	40.363823	223813.739835	41086.399003
413	264942.908452	39.519795	223816.492653	41086.896005
414	264945.263573	38.692487	223819.188385	41087.382701
415	264947.569125	37.881632	223821.828193	41087.859300
416	264949.826199	37.086985	223824.413207	41088.326007
417	264952.035871	36.308328	223826.944524	41088.783019
418	264954.199205	35.545466	223829.423210	41089.230529
419	264956.317253	34.798230	223831.850299	41089.668723
420	264958.391052	34.066475	223834.226794	41090.097783
421	264960.421630	33.350083	223836.553663	41090.517884
422	264962.409997	32.648957	223838.831846	41090.929194
423	264964.357155	31.963027	223841.062249	41091.331878
424	264966.264090	31.292248	223843.245747	41091.726094
425	264968.131775	30.636599	223845.383183	41092.111993
426	264969.961174	29.996084	223847.475367	41092.489723
427	264971.753233	29.370732	223849.523079	41092.859423
428	264973.508887	28.760585	223851.527072	41093.221230
429	264975.228623	28.164270	223853.488924	41093.575429
430	264976.912875	27.580553	223855.410047	41093.922275
431	264978.562300	27.009102	223857.291279	41094.261919
432	264980.177552	26.449601	223859.133442	41094.594509
433	264981.759276	25.901741	223860.937344	41094.920191
434	264983.308110	25.365225	223862.703777	41095.239108
435	264984.824684	24.839763	223864.433519	41095.551402
