denominazione_regione,Italy,lat,long,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323,20200324,20200325,20200326,20200327,20200328,20200329,20200330,20200331
Abruzzo,Italy,42.35122196,13.39843823,0,0,0,1,0,1,3,0,1,1,1,1,2,6,13,8,0,46,5,23,25,39,53,34,122,64,80,58,76,26,124,133,71,116,160,52,56
Basilicata,Italy,40.63947052,15.80514834,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,1,0,2,0,1,1,8,7,10,15,14,15,9,2,21,21,17,31,20,12,12
P.A. Bolzano,Italy,46.49933453,11.35662422,0,1,0,0,0,0,0,0,0,0,0,3,5,0,0,29,37,29,21,48,31,37,50,85,60,112,73,57,46,57,77,48,97,106,105,111,46
Calabria,Italy,38.90597598,16.59440194,0,0,0,0,1,0,0,0,0,0,1,2,0,5,2,2,6,14,5,22,8,21,25,15,40,38,28,38,19,27,32,42,101,61,59,33,12
Campania,Italy,40.83956555,14.25084984,0,0,0,3,1,9,4,0,13,1,14,12,4,40,19,7,27,25,41,52,61,67,60,0,192,97,95,92,90,75,98,111,144,138,167,193,140
Emilia-Romagna,Italy,44.49436681,11.3417208,18,8,21,50,48,72,68,50,85,124,154,172,140,170,206,147,206,208,316,381,449,429,409,594,689,754,737,850,980,719,800,762,772,795,736,412,543
Friuli Venezia Giulia,Italy,45.6494354,13.76813649,0,0,0,0,0,0,6,3,4,5,3,10,11,15,36,23,10,41,90,44,46,39,8,68,137,57,134,84,56,62,147,84,94,119,44,21,92
Lazio,Italy,41.89277044,12.48366722,2,0,0,0,0,3,0,1,7,16,14,10,22,11,15,14,34,50,77,80,79,87,84,117,99,185,182,193,157,188,173,195,199,210,201,208,181
Liguria,Italy,44.41149315,8.9326992,0,1,10,8,0,23,-17,-3,2,2,2,4,19,27,31,32,53,80,71,118,96,108,111,109,172,162,215,229,259,192,189,262,129,126,254,141,199
Lombardia,Italy,45.46679409,9.190347404,166,68,18,145,128,84,369,270,266,300,431,361,808,769,1280,322,1489,1445,1095,1865,1587,1377,1571,1493,2171,2380,3251,1691,1555,1942,1643,2543,2409,2117,1592,1154,1047
Marche,Italy,43.61675973,13.5188753,0,0,1,2,3,5,14,10,26,23,40,35,48,65,51,71,85,113,133,174,234,109,129,197,169,244,172,268,148,167,198,180,82,177,185,126,141
Molise,Italy,41.55774754,14.65916051,0,0,0,0,0,0,0,0,3,0,4,5,2,0,0,1,1,0,1,0,0,4,4,3,18,4,11,5,1,6,0,30,6,14,4,7,10
Piemonte,Italy,45.0732745,7.680687483,3,0,0,-1,9,0,38,2,5,26,26,35,64,153,-10,103,48,79,260,33,238,405,381,444,591,529,291,668,441,654,509,510,558,579,535,506,589
Puglia,Italy,41.12559576,16.86736689,0,0,0,1,2,0,0,1,2,3,5,3,9,14,10,9,18,27,25,37,64,0,110,43,95,103,94,111,120,99,88,89,152,124,91,163,91
Sardegna,Italy,39.21531192,9.110616306,0,0,0,0,0,0,0,0,1,1,0,3,0,6,8,1,17,2,4,4,30,30,10,17,72,87,37,9,20,62,21,52,36,94,14,44,40
Sicilia,Italy,38.11569725,13.3623567,0,3,0,1,0,0,5,-2,0,11,0,6,11,18,1,8,21,32,15,26,32,25,24,45,58,68,82,140,91,125,148,170,86,109,101,95,92
Toscana,Italy,43.76923077,11.25588885,0,2,0,0,6,3,2,0,6,19,23,18,34,53,42,56,56,44,106,160,151,85,187,277,152,311,219,265,184,238,273,254,224,367,305,290,196
P.A. Trento,Italy,46.06893511,11.12123097,0,0,0,0,0,0,0,0,4,1,2,3,4,9,10,19,25,30,56,43,172,0,7,70,68,119,140,172,69,87,112,75,94,114,89,88,64
Umbria,Italy,43.10675841,12.38824698,0,0,0,0,0,0,2,0,6,1,0,7,8,2,2,9,9,18,12,31,36,21,33,50,87,61,67,59,56,71,62,92,82,85,54,28,27
Valle d'Aosta,Italy,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,2,5,1,1,6,2,3,7,1,14,15,48,31,29,50,49,49,51,29,7,1,7,44,59,73,0,44
Veneto,Italy,45.43490485,12.33845213,32,10,28,40,40,40,72,10,34,53,47,81,55,127,74,112,167,361,211,342,235,301,231,510,270,547,586,505,383,443,494,493,562,433,428,366,431
