denominazione_regione,Italy,lat,long,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,
Abruzzo,Italy,42.35122196,13.39843823,0,0,0,1,0,1,3,0,1,1,1,1,2,6,13,7,0,41,5,23,22,37,51,33,117,56,72,45,66,17,116,122,65,102,142,0,0,
Basilicata,Italy,40.63947052,15.80514834,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,1,0,2,0,1,1,8,7,10,15,14,15,8,2,21,21,14,31,19,11,11,
P.A. Bolzano,Italy,46.49933453,11.35662422,0,1,0,0,0,0,0,0,0,0,0,3,5,0,0,29,37,28,20,47,29,36,47,84,55,109,70,48,40,11,49,43,42,96,105,64,64,
Calabria,Italy,38.90597598,16.59440194,0,0,0,0,1,0,0,0,0,0,1,2,0,5,0,2,6,15,5,22,7,21,25,14,38,37,24,35,20,24,29,39,97,54,54,25,25,
Campania,Italy,40.83956555,14.25084984,0,0,0,3,1,9,4,0,13,1,14,12,4,39,19,7,23,25,39,30,53,67,60,0,182,97,91,73,63,63,80,97,123,115,149,183,183,
Emilia Romagna,Italy,44.49436681,11.3417208,18,8,20,50,47,70,64,47,74,118,142,158,121,160,189,131,171,170,253,338,392,347,316,511,591,583,572,729,830,491,545,594,511,603,571,231,231,
Friuli Venezia Giulia,Italy,45.6494354,13.76813649,0,0,0,0,0,0,6,3,4,5,3,7,11,14,36,21,0,38,88,35,45,30,1,69,106,33,111,72,33,77,63,43,73,93,21,-32,-32,
Lazio,Italy,41.89277044,12.48366722,2,0,-2,0,0,3,0,1,7,16,14,9,22,9,13,5,26,47,70,78,76,76,78,100,91,171,174,186,142,131,130,160,178,168,181,135,135,
Liguria,Italy,44.41149315,8.9326992,0,1,10,8,0,19,-17,-3,1,2,0,3,18,25,30,31,53,62,61,80,109,82,86,83,139,118,158,192,202,139,134,201,33,26,193,104,104,
Lombardia,Italy,45.46679409,9.190347404,166,65,18,100,125,78,335,190,249,171,280,231,734,630,1118,-63,1336,1133,836,1327,984,818,1234,171,1672,1482,1950,515,1025,958,723,1598,1706,614,883,-386,-386,
Marche,Italy,43.61675973,13.5188753,0,0,1,2,3,5,14,9,25,21,40,35,46,64,48,68,80,109,128,165,224,98,117,174,146,222,153,234,127,139,142,156,55,149,161,91,91,
Molise,Italy,41.55774754,14.65916051,0,0,0,0,0,0,0,0,3,0,4,5,2,0,0,1,1,0,1,0,0,-2,4,2,17,1,8,5,-2,5,-2,28,5,12,2,7,7,
Piemonte,Italy,45.0732745,7.680687483,3,0,0,-1,9,0,38,2,5,26,24,33,63,153,-18,99,44,74,240,20,216,375,359,423,567,490,262,621,402,595,432,394,397,504,417,387,387,
Puglia,Italy,41.12559576,16.86736689,0,0,0,1,2,0,0,1,2,1,5,3,8,13,10,9,16,27,23,35,56,0,108,42,87,102,91,106,114,78,83,72,141,122,74,153,153,
Sardegna,Italy,39.21531192,9.110616306,0,0,0,0,0,0,0,0,1,1,0,3,0,6,8,1,17,2,4,4,28,30,10,17,72,84,33,6,16,52,17,50,34,73,13,40,40,
Sicilia,Italy,38.11569725,13.3623567,0,3,0,-1,0,0,5,-2,0,11,0,6,11,18,1,8,21,30,15,24,29,24,23,41,54,58,79,138,85,118,137,159,63,84,88,78,78,
Toscana,Italy,43.76923077,11.25588885,0,2,0,0,5,3,2,0,6,19,23,18,34,53,41,54,54,38,103,159,149,78,183,267,131,291,192,239,157,218,257,197,197,341,275,264,264,
P.A. Trento,Italy,46.06893511,11.12123097,0,0,0,0,0,0,0,0,4,1,2,3,4,9,10,17,24,28,55,42,168,0,1,68,55,109,120,165,29,61,83,36,70,70,59,64,64,
Umbria,Italy,43.10675841,12.38824698,0,0,0,0,0,0,2,0,6,1,0,7,8,2,2,9,7,18,11,30,36,20,33,49,87,56,63,53,56,68,62,84,54,74,-1,-63,-63,
Valle d'Aosta,Italy,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,2,5,1,1,6,2,2,7,1,14,15,47,31,28,47,48,47,50,25,0,-4,3,35,55,71,-21,-21,
Veneto,Italy,45.43490485,12.33845213,32,10,27,40,40,40,72,10,26,48,35,74,51,118,71,89,157,357,156,322,214,285,214,465,216,508,537,430,342,365,394,395,508,265,338,313,313,
