day	sum	infected	cured	deceased
0	270	259	0	11
1	444	433	0	11
2	444	399	28	17
3	549	494	31	24
4	761	689	32	40
5	1058	964	42	52
6	1423	1302	45	76
7	3554	3349	80	125
8	3554	3349	80	125
9	4586	4334	90	162
10	7153	6738	166	249
11	7153	6737	167	249
12	9074	8558	222	294
13	11177	10531	296	350
14	13522	12710	398	414
15	16678	15667	532	479
16	19665	18445	671	549
17	22112	20662	832	618
18	24953	23130	1124	699
19	27100	24873	1447	780
20	29631	26963	1797	871
21	31728	28532	2222	974
22	33366	29659	2639	1068
23	48206	43455	3441	1310
24	51986	46806	3862	1318
25	54406	48175	4774	1457
26	56249	49030	5623	1596
27	58182	49845	6641	1696
28	59989	50303	7897	1789
29	61682	50565	9196	1921
30	62031	49664	10338	2029
31	62662	48664	11854	2144
32	63454	47535	13669	2250
33	64084	46418	15320	2346
34	64287	45044	16748	2495
35	64786	43334	18889	2563
36	65187	41595	20977	2615
37	65596	39737	23218	2641
38	65914	36826	26406	2682
39	66337	34597	29013	2727
40	66907	32606	31540	2761
41	67103	30543	33757	2803
42	67217	28184	36199	2834
43	67332	25902	38559	2871
44	67466	23898	40666	2902
45	67592	22607	42054	2931
46	67666	21238	43469	2959
47	67707	19538	45183	2986
48	67743	18182	46554	3007
49	67760	16952	47784	3024
50	67773	15665	49062	3046
51	67781	14409	50316	3056
52	67786	13169	51555	3062
53	67790	11772	52943	3075
54	67794	10430	54279	3085
55	67798	9565	55134	3099
56	67799	8683	56005	3111
57	67800	7734	56944	3122
58	67800	6989	57681	3130
59	67800	6234	58434	3132
60	67800	5719	58942	3139
