day	sum	infected	cured	deceased
0	0.000000	0.000000	0.000000	0.000000
1	280.437966	280.375535	0.058661	0.003769
2	610.184519	609.887871	0.278738	0.017910
3	997.550129	996.745128	0.756398	0.048602
4	1452.001102	1450.299305	1.599051	0.102747
5	1984.436582	1981.262826	2.982139	0.191617
6	2607.284595	2601.777552	5.174553	0.332490
7	3334.502057	3325.414774	8.538633	0.548649
8	4180.642497	4166.058455	13.703524	0.880518
9	5161.916649	5139.033997	21.501102	1.381551
10	6300.416377	6266.048098	32.293278	2.075001
11	7617.297692	7567.117769	47.150287	3.029636
12	9132.327936	9060.033026	67.930071	4.364839
13	10863.885776	10760.356893	97.278278	6.250604
14	12828.961210	12681.425398	138.628269	8.907543
15	15043.155561	14834.347573	196.201109	12.606879
16	17520.681481	17228.005459	275.005573	17.670450
17	20271.196901	19865.752667	380.965352	24.478883
18	23284.895270	22728.446082	522.853311	33.595877
19	26549.422664	25791.466376	712.194327	45.761961
20	30038.826072	29015.106157	961.912352	61.807563
21	33711.495063	32342.548900	1286.295406	82.650757
22	37510.161792	35699.868955	1700.995571	109.297266
23	41361.900998	38996.031540	2223.028997	142.840461
24	45178.130004	42122.892745	2870.775898	184.461360
25	48854.608715	44955.199531	3663.980554	235.428630
26	52272.465410	47351.790164	4623.587206	297.088040
27	55356.442411	49224.327473	5761.885667	370.229271
28	58052.951242	50512.943958	7084.775863	455.231421
29	60327.305536	51181.976276	8593.175783	552.153477
30	62178.799340	51237.852258	10280.382350	660.564732
31	63620.708649	50706.982195	12134.054257	779.672197
32	64702.712347	49660.611147	14133.927394	908.173805
33	65477.153176	48176.655967	16255.971702	1044.525507
34	66009.659245	46350.742501	18472.000569	1186.916175
35	66361.784395	44275.912275	20752.427394	1333.444727
36	66584.707752	42034.379178	23068.091151	1482.237423
37	66720.465093	39697.864653	25391.098462	1631.501978
38	66800.363915	37324.771878	27695.989558	1779.602478
39	66845.563636	34960.018689	29960.440448	1925.104498
40	66870.347466	32638.089481	32165.469604	2066.788381
41	66883.550763	30384.272514	34295.617473	2203.660776
42	66890.395880	28216.585666	36338.861067	2334.949148
43	66893.855980	26147.368385	38286.399594	2460.088002
44	66895.566766	24184.516334	40132.351041	2578.699390
45	66896.396470	22332.432614	41873.393962	2690.569893
46	66896.792076	20592.782703	43508.383428	2795.625945
47	66896.977903	18965.101263	45037.967458	2893.909183
48	66897.064057	17447.287712	46464.223267	2985.553078
49	66897.103548	16036.015641	47790.326242	3070.761665
50	66897.121472	14727.071663	49020.258964	3149.790845
51	66897.129538	13515.634057	50158.563045	3222.932436
52	66897.133142	12396.499037	51210.133158	3290.500948
53	66897.134742	11364.261480	52180.050399	3352.822863
54	66897.135448	10413.456432	53073.450817	3410.228200
55	66897.135759	9538.667372	53895.424375	3463.044012
56	66897.135895	8734.606770	54650.939575	3511.589550
57	66897.135954	7996.174053	55344.789132	3556.172770
58	66897.135981	7318.495284	55981.552757	3597.087940
59	66897.135990	6696.948005	56565.573840	3634.614145
60	66897.135993	6127.176545	57100.945089	3669.014360
61	66897.135996	5605.095496	57591.505255	3700.535244
62	66897.135998	5126.889722	58040.839137	3729.407139
63	66897.135998	4689.011054	58452.280679	3755.844266
64	66897.135999	4288.162552	58828.927768	3780.045679
65	66897.136000	3921.298717	59173.642030	3802.195253
66	66897.136000	3585.603488	59489.069505	3822.463007
67	66897.136000	3278.456900	59777.671976	3841.007124
68	66897.136000	2997.489592	60041.675753	3857.970655
69	66897.136000	2740.521194	60283.129566	3873.485241
70	66897.136000	2505.516547	60503.945698	3887.673755
71	66897.136000	2290.558335	60705.925709	3900.651956
72	66897.136000	2093.774848	60890.828302	3912.532850
73	66897.136000	1913.764032	61059.970882	3923.401086
74	66897.136000	1749.243619	61214.558299	3933.334082
75	66897.136000	1598.977238	61355.752278	3942.406484
76	66897.136000	1461.774414	61484.671418	3950.690168
77	66897.136000	1336.490571	61602.391191	3958.254238
78	66897.136000	1222.027029	61709.943944	3965.165027
79	66897.136000	1117.331006	61808.318896	3971.486098
80	66897.136000	1021.412634	61898.446153	3977.277214
81	66897.136000	933.586995	61980.969278	3982.579727
82	66897.136000	853.271855	62056.435354	3987.428791
83	66897.136000	779.883043	62125.393282	3991.859674
84	66897.136000	712.859468	62188.370279	3995.906254
85	66897.136000	651.663116	62245.871873	3999.601012
86	66897.136000	595.779052	62298.381911	4002.975038
87	66897.136000	544.715420	62346.362552	4006.058028
88	66897.136000	498.003442	62390.254273	4008.878285
89	66897.136000	455.215868	62430.458528	4011.461605
90	66897.136000	416.057803	62467.252406	4013.825791
91	66897.136000	380.257987	62500.890791	4015.987222
92	66897.136000	347.552268	62531.621887	4017.961844
93	66897.136000	317.687087	62559.683944	4019.764969
94	66897.136000	290.419480	62585.305258	4021.411263
95	66897.136000	265.517075	62608.704168	4022.914757
96	66897.136000	242.758099	62630.089061	4024.288841
97	66897.136000	221.931368	62649.658368	4025.546264
98	66897.136000	202.864294	62667.574259	4026.697448
99	66897.136000	185.434963	62683.951285	4027.749752
100	66897.136000	169.503174	62698.921186	4028.711641
